"Hobby","Variable","Weight"
"Embroidery","Restlessness",5.5
"Embroidery","Confidence.in.Hobby",4.8
"Embroidery","Perfection.Pressure",9.2
"Embroidery","Peer.Comparison.Anxiety",0.8
"Embroidery","Fear.of.Judgment",2.9
"Embroidery","Emotional.Reward",3.6
"Embroidery","Social.Energy",7.8
"Embroidery","Resonance.with.Identity",9.9
"Embroidery","Passion.Intensity",2.5
"Embroidery","Trendiness",8.8
"Embroidery","Media.Exposure",8.3
"Embroidery","Nostalgia",2.3
"Embroidery","Early.Success",4.1
"Embroidery","Beginner.Resources",4.2
"Embroidery","Advanced.Challenges",9.8
"Embroidery","Hobby.Evolution",1.9
"Embroidery","Safety.Measures",8
"Embroidery","Competition.Outcome",3.4
"Embroidery","Awards",7.3
"Embroidery","Peer.Accountability",4.3
"Embroidery","Multiple.Hobbies",5.8
"Embroidery","External.Obligations",8.3
"Embroidery","Housing.Stability",8.1
"Embroidery","Family.Expectations",8.7
"Embroidery","Work.Life.Balance",0.7
"Embroidery","Routine.Integration",7
"Embroidery","Cleanup.Effort",1.5
"Embroidery","Focus.Intensity",4.2
"Embroidery","Portability",5.5
"Embroidery","Climate.Change.Awareness",4.1
"Embroidery","Social.Perception",5.2
"Embroidery","Support.System",10
"Embroidery","Lifestyle.Fit",1.4
"Embroidery","Technology.Enhancement",6.8
"Embroidery","Goal.Alignment",4
"Embroidery","Identity.Fulfillment",1.4
"Embroidery","Cognitive.Load",1.7
"Embroidery","Self.Reflection",9.5
"Embroidery","Skill.Reinforcement",8.8
"Embroidery","Extra.Variable.271",9.1
"Embroidery","Extra.Variable.272",9.9
"Embroidery","Extra.Variable.273",2.2
"Embroidery","Extra.Variable.274",3.6
"Embroidery","Extra.Variable.275",6.7
"Embroidery","Extra.Variable.276",4.9
"Embroidery","Extra.Variable.277",4.2
"Embroidery","Extra.Variable.278",3.6
"Embroidery","Extra.Variable.279",6
"Embroidery","Extra.Variable.280",5.8
"Embroidery","Extra.Variable.281",1.7
"Embroidery","Extra.Variable.282",4.8
"Embroidery","Extra.Variable.283",5.6
"Embroidery","Extra.Variable.284",5.7
"Embroidery","Extra.Variable.285",2.2
"Embroidery","Extra.Variable.286",7.4
"Embroidery","Extra.Variable.287",0.3
"Embroidery","Extra.Variable.288",3.6
"Embroidery","Extra.Variable.289",7.8
"Embroidery","Extra.Variable.290",5.7
"Embroidery","Extra.Variable.291",2.7
"Embroidery","Extra.Variable.292",7
"Embroidery","Extra.Variable.293",5.7
"Embroidery","Extra.Variable.294",8
"Embroidery","Extra.Variable.295",7.4
"Embroidery","Extra.Variable.296",6.1
"Embroidery","Extra.Variable.297",4.9
"Embroidery","Extra.Variable.298",1.4
"Embroidery","Extra.Variable.299",2.7
"Embroidery","Extra.Variable.300",4.2
"Quilting","Gender..male.",6
"Quilting","Gender..female.",5.2
"Quilting","Age",3
"Quilting","Education.Level",0.2
"Quilting","Student.Status",5
"Quilting","Employment.Status",2.9
"Quilting","Occupation.Type",7.4
"Quilting","Income.Level",0.3
"Quilting","Living.Situation",5.9
"Quilting","Relationship.Status",9.4
"Quilting","Parental.Status",1.8
"Quilting","Urban.Environment",4.8
"Quilting","Rural.Environment",1
"Quilting","Suburban.Environment",6.3
"Quilting","Region..Geography.",5.6
"Quilting","Cultural.Ethnic.Background",4.1
"Quilting","Religious.Beliefs",5.3
"Quilting","Physical.Health.Status",9
"Quilting","Disability.Status",2
"Quilting","Mental.Health.Condition",0.3
"Quilting","Body.Image.Self.Consciousness",8.6
"Quilting","Language.Fluency",5.8
"Quilting","Generation.Identity",8.9
"Quilting","Parental.Encouragement",6
"Quilting","Family.Tradition",8.1
"Quilting","Peer.Economic.Status",4.4
"Quilting","Financial.Independence",7.5
"Quilting","Living.Expenses",9.1
"Quilting","Student.Loan.Burden",5.8
"Quilting","Rent.Burden",1.9
"Quilting","Openness.to.Experience",2.8
"Quilting","Conscientiousness",2.1
"Quilting","Extraversion",2.5
"Quilting","Introversion",3.1
"Quilting","Agreeableness",5.6
"Quilting","Neuroticism",5.9
"Quilting","Sensation.Seeking",4.3
"Quilting","Need.for.Novelty",6.2
"Quilting","Competitiveness",0.9
"Quilting","Creativity..Trait.",1
"Quilting","Curiosity",1.8
"Quilting","Patience",5.2
"Quilting","Attention.Span",2.2
"Quilting","Detail.Orientedness",2.9
"Quilting","Impulsivity",4.1
"Quilting","Self.Discipline",8.1
"Quilting","Self.Esteem",0.2
"Quilting","Shyness",6.5
"Quilting","Independence",6.7
"Quilting","Empathy",8
"Quilting","Analytical.Thinking",9.3
"Quilting","Playfulness",0.3
"Quilting","Workaholic.Attitude",1.6
"Quilting","Thrill.Seeking",8.9
"Quilting","Flexibility..Cognitive.",4.6
"Quilting","Perfectionism",5.7
"Quilting","Flow.Proneness",6.7
"Quilting","Optimism",6.8
"Quilting","Resilience",9.3
"Quilting","Assertiveness",10
"Quilting","Intrinsic.Motivation",7.2
"Quilting","Extrinsic.Motivation",2.9
"Quilting","Achievement.Drive",8.8
"Quilting","Desire.for.Recognition",0.6
"Quilting","Desire.for.Mastery",2.4
"Quilting","Desire.for.Relaxation",9
"Quilting","Social.Connection.Need",2.6
"Quilting","Creative.Expression.Need",2.3
"Quilting","Escapism",1.5
"Quilting","Boredom.Avoidance",8.6
"Quilting","Health.Consciousness",5.1
"Quilting","Personal.Growth",6.8
"Quilting","Identity.Expression",2.5
"Quilting","Fun.Orientation",7.6
"Quilting","Altruism",7.6
"Quilting","Therapeutic.Need",3.2
"Quilting","Habit.Strength",4.2
"Quilting","Peer.Approval",2.2
"Quilting","Obligation.Commitment",9.8
"Quilting","Curiosity.Driven.Exploration",6.5
"Quilting","Challenge.Seeking",9.4
"Quilting","Fear.of.Missing.Out",3.1
"Quilting","Self.Efficacy",7.8
"Quilting","Desire.for.Prestige",7.7
"Quilting","Perceived.Time.Value",6.9
"Quilting","Desire.for.Autonomy",9.7
"Quilting","Desire.for.Belonging",4
"Quilting","Desire.for.Exploration",1.4
"Quilting","Value.Congruence",6.7
"Quilting","Need.for.Feedback",7.3
"Quilting","Peer.Influence",5.8
"Quilting","Friends..Participation",2.1
"Quilting","Family.Support",5.1
"Quilting","Partner.Support",3.2
"Quilting","Social.Norms",4.3
"Quilting","Peer.Competition",6.5
"Quilting","Mentorship.Presence",7.5
"Quilting","Role.Models",2.4
"Quilting","Club.Group.Access",4.1
"Quilting","Sense.of.Community",2.8
"Quilting","Inclusivity.of.Community",2.1
"Quilting","Social.Recognition",7.9
"Quilting","Social.Media.Trends",9.1
"Quilting","Celebrity.Endorsement",3.8
"Quilting","Cultural.Stigma",7.5
"Quilting","Networking.Opportunities",9
"Quilting","Team.Dynamics",8.5
"Quilting","Event.Frequency",1.9
"Quilting","Friends..Judgment",9.6
"Quilting","Preferred.Group.Size",3.8
"Quilting","Time.with.Family",3.5
"Quilting","Age.of.Peers",0.7
"Quilting","Representation.in.Media",4.9
"Quilting","Workplace.Culture",1.2
"Quilting","School.Culture",2.6
"Quilting","Hobby.Popularity.in.Area",3.2
"Quilting","Encouragement.from.Others",8.1
"Quilting","Gift.Culture",8.8
"Quilting","Family.Hobby.Culture",3.1
"Quilting","Cultural.Tradition",8.6
"Quilting","Access.to.Facilities",8.6
"Quilting","Home.Space.Availability",7.7
"Quilting","Environmental.Proximity",1.6
"Quilting","Climate.Suitability",6.9
"Quilting","Urban.Infrastructure",9.5
"Quilting","Neighborhood.Safety",6.9
"Quilting","Local.Classes",3.4
"Quilting","Internet.Access",5.1
"Quilting","Free.Time",6.5
"Quilting","Schedule.Flexibility",5.2
"Quilting","Transportation.Access",1.3
"Quilting","Noise.Constraints",3.2
"Quilting","Light.Pollution",8
"Quilting","Air.Quality",8.6
"Quilting","Cost.of.Local.Access",1.5
"Quilting","Rental.Options",9.5
"Quilting","Supply.Store.Access",3.4
"Quilting","Resource.Competition",6.7
"Quilting","Supportive.Employer",7.5
"Quilting","Legal.Barriers",8.1
"Quilting","Public.Health.Concern",9.5
"Quilting","Home.Supportiveness",3.2
"Quilting","Workload",8.6
"Quilting","Relocation.Frequency",1.4
"Quilting","Insurance.Availability",7.1
"Quilting","Physical.Risk.Level",7.4
"Quilting","Weather.Conditions",6.8
"Quilting","Accessibility.for.Disabilities",2.6
"Quilting","COVID.Impact",8.7
"Quilting","Commuting.Distance",1.8
"Quilting","Disposable.Income",0.6
"Quilting","Startup.Costs",7.2
"Quilting","Ongoing.Costs",4.8
"Quilting","Ability.to.Monetize",8.5
"Quilting","Perceived.Value",3.9
"Quilting","Opportunity.Cost",1.8
"Quilting","Work.Hours",8.4
"Quilting","Job.Demands",5.5
"Quilting","Financial.Stress",2
"Quilting","Socioeconomic.Status",7.2
"Quilting","Parental.Financial.Support",5.2
"Quilting","Frugality.Mindset",6.1
"Quilting","Access.to.Credit",4.7
"Quilting","Economic.Climate",8.3
"Quilting","Used.Gear.Market",8.3
"Quilting","Resale.Value",7.1
"Quilting","Living.Cost.Burden",1.1
"Quilting","Transportation.Cost",8.4
"Quilting","Marketplace.Strength",6.7
"Quilting","Recession.Sensitivity",7
"Quilting","Equipment.Quality",3.7
"Quilting","Free.Alternatives",8.8
"Quilting","Scholarship.Availability",7.3
"Quilting","Workplace.Perks",1.2
"Quilting","Debt.Burden",4.1
"Quilting","Class.Based.Identity",8.9
"Quilting","Hobby.Affordability",0.6
"Quilting","Hobby.Elitism",9.6
"Quilting","Low.Cost.Hacks",6.8
"Quilting","Hobby.Inflation.Risk",6.4
"Quilting","Physical.Strength",2.8
"Quilting","Flexibility",2.6
"Quilting","Hand.Eye.Coordination",9.4
"Quilting","Fine.Motor.Skills",3.1
"Quilting","Artistic.Talent",7.8
"Quilting","Musical.Ability",4
"Quilting","Strategic.Thinking",1.5
"Quilting","Logical.Reasoning",0.2
"Quilting","Public.Speaking",5.5
"Quilting","Writing.Skill",9.8
"Quilting","Technical.Skill",3.8
"Quilting","Cooking.Skill",3.6
"Quilting","Subject.Knowledge",3.5
"Quilting","Learning.Aptitude",5.3
"Quilting","Memory.Retention",4.5
"Quilting","Spatial.Skills",8.8
"Quilting","Creative.Fluency",5.1
"Quilting","Tolerance.for.Repetition",5.1
"Quilting","Singing.Ability",1.5
"Quilting","Rhythm.Sense",9.8
"Quilting","Teamwork.Skills",2.6
"Quilting","Stress.Tolerance",0.8
"Quilting","Adaptability",6.7
"Quilting","Hobby.Specific.Training",6
"Quilting","Hand.Stability",4.2
"Quilting","Focus.Consistency",4.3
"Quilting","Endurance",7.9
"Quilting","Gaming.Reflexes",2
"Quilting","Problem.Solving",8.2
"Quilting","Pattern.Recognition",6.5
"Quilting","Current.Stress.Level",4.2
"Quilting","Anxiety.Level",4.6
"Quilting","Mood.Depression",2.6
"Quilting","Baseline.Happiness",7.5
"Quilting","Resilience.to.Failure",5.2
"Quilting","Energy.Level",3.3
"Quilting","Mental.Fatigue",6
"Quilting","Focus.Ability",10
"Quilting","Desire.for.Solitude",4.4
"Quilting","Outlet.for.Emotion",9.2
"Quilting","Anger.Management",3.5
"Quilting","Life.Satisfaction",0.6
"Quilting","Burnout.Level",2.1
"Quilting","Boredom.Proneness",4.2
"Quilting","Need.for.Meaning",2.3
"Quilting","Gratification.Preference",0.1
"Quilting","Process.Orientation",9.2
"Quilting","Therapeutic.Value",8.5
"Quilting","Coping.Strategy.Need",7.4
"Quilting","Motivational.Burnout",1.8
"Quilting","Self.Awareness",1.3
"Quilting","Restlessness",0.8
"Quilting","Confidence.in.Hobby",7.3
"Quilting","Perfection.Pressure",9.3
"Quilting","Peer.Comparison.Anxiety",4.4
"Quilting","Fear.of.Judgment",1.3
"Quilting","Emotional.Reward",5.2
"Quilting","Social.Energy",3.6
"Quilting","Resonance.with.Identity",3.8
"Quilting","Passion.Intensity",6.3
"Quilting","Trendiness",7.2
"Quilting","Media.Exposure",1.2
"Quilting","Nostalgia",0.5
"Quilting","Early.Success",9.9
"Quilting","Beginner.Resources",2.4
"Quilting","Advanced.Challenges",0.6
"Quilting","Hobby.Evolution",2
"Quilting","Safety.Measures",0.5
"Quilting","Competition.Outcome",4
"Quilting","Awards",8
"Quilting","Peer.Accountability",3.5
"Quilting","Multiple.Hobbies",4.5
"Quilting","External.Obligations",6.8
"Quilting","Housing.Stability",5.1
"Quilting","Family.Expectations",8.6
"Quilting","Work.Life.Balance",8.7
"Quilting","Routine.Integration",0.2
"Quilting","Cleanup.Effort",7.8
"Quilting","Focus.Intensity",4.7
"Quilting","Portability",9.9
"Quilting","Climate.Change.Awareness",4.9
"Quilting","Social.Perception",9.9
"Quilting","Support.System",7.6
"Quilting","Lifestyle.Fit",2.6
"Quilting","Technology.Enhancement",5.4
"Quilting","Goal.Alignment",9.9
"Quilting","Identity.Fulfillment",8.6
"Quilting","Cognitive.Load",1.1
"Quilting","Self.Reflection",7.1
"Quilting","Skill.Reinforcement",3.5
"Quilting","Extra.Variable.271",0.2
"Quilting","Extra.Variable.272",4.1
"Quilting","Extra.Variable.273",2.4
"Quilting","Extra.Variable.274",8.2
"Quilting","Extra.Variable.275",3.4
"Quilting","Extra.Variable.276",8.3
"Quilting","Extra.Variable.277",0.1
"Quilting","Extra.Variable.278",3.1
"Quilting","Extra.Variable.279",2.5
"Quilting","Extra.Variable.280",2.4
"Quilting","Extra.Variable.281",0.8
"Quilting","Extra.Variable.282",2
"Quilting","Extra.Variable.283",5.6
"Quilting","Extra.Variable.284",3
"Quilting","Extra.Variable.285",4.2
"Quilting","Extra.Variable.286",3.8
"Quilting","Extra.Variable.287",8.8
"Quilting","Extra.Variable.288",9.1
"Quilting","Extra.Variable.289",5
"Quilting","Extra.Variable.290",3.4
"Quilting","Extra.Variable.291",1.2
"Quilting","Extra.Variable.292",9.5
"Quilting","Extra.Variable.293",0.7
"Quilting","Extra.Variable.294",3
"Quilting","Extra.Variable.295",3.1
"Quilting","Extra.Variable.296",3.3
"Quilting","Extra.Variable.297",1.7
"Quilting","Extra.Variable.298",7.9
"Quilting","Extra.Variable.299",1.3
"Quilting","Extra.Variable.300",6.4
"Crocheting","Gender..male.",1.3
"Crocheting","Gender..female.",0.8
"Crocheting","Age",9.1
"Crocheting","Education.Level",2
"Crocheting","Student.Status",8.2
"Crocheting","Employment.Status",5.5
"Crocheting","Occupation.Type",0.9
"Crocheting","Income.Level",9.6
"Crocheting","Living.Situation",2.5
"Crocheting","Relationship.Status",8.6
"Crocheting","Parental.Status",1.8
"Crocheting","Urban.Environment",8.6
"Crocheting","Rural.Environment",0.2
"Crocheting","Suburban.Environment",5.2
"Crocheting","Region..Geography.",7.7
"Crocheting","Cultural.Ethnic.Background",9.4
"Crocheting","Religious.Beliefs",9.1
"Crocheting","Physical.Health.Status",8.2
"Crocheting","Disability.Status",8.9
"Crocheting","Mental.Health.Condition",2.1
"Crocheting","Body.Image.Self.Consciousness",2.9
"Crocheting","Language.Fluency",3
"Crocheting","Generation.Identity",3.8
"Crocheting","Parental.Encouragement",4
"Crocheting","Family.Tradition",5.5
"Crocheting","Peer.Economic.Status",1.7
"Crocheting","Financial.Independence",6.9
"Crocheting","Living.Expenses",1.8
"Crocheting","Student.Loan.Burden",3.2
"Crocheting","Rent.Burden",5.1
"Crocheting","Openness.to.Experience",8
"Crocheting","Conscientiousness",7.4
"Crocheting","Extraversion",6.5
"Crocheting","Introversion",1.6
"Crocheting","Agreeableness",5.5
"Crocheting","Neuroticism",1
"Crocheting","Sensation.Seeking",3.8
"Crocheting","Need.for.Novelty",4.2
"Crocheting","Competitiveness",0.5
"Crocheting","Creativity..Trait.",2.8
"Crocheting","Curiosity",9.6
"Crocheting","Patience",9.5
"Crocheting","Attention.Span",3.6
"Crocheting","Detail.Orientedness",0.5
"Crocheting","Impulsivity",1.9
"Crocheting","Self.Discipline",4
"Crocheting","Self.Esteem",9.5
"Crocheting","Shyness",1.5
"Crocheting","Independence",7.7
"Crocheting","Empathy",1.2
"Crocheting","Analytical.Thinking",9.8
"Crocheting","Playfulness",3.9
"Crocheting","Workaholic.Attitude",7.8
"Crocheting","Thrill.Seeking",3.5
"Crocheting","Flexibility..Cognitive.",6.3
"Crocheting","Perfectionism",2
"Crocheting","Flow.Proneness",1.5
"Crocheting","Optimism",9.4
"Crocheting","Resilience",9.2
"Crocheting","Assertiveness",8.9
"Crocheting","Intrinsic.Motivation",6.3
"Crocheting","Extrinsic.Motivation",8.1
"Crocheting","Achievement.Drive",0.8
"Crocheting","Desire.for.Recognition",3.4
"Crocheting","Desire.for.Mastery",3.2
"Crocheting","Desire.for.Relaxation",6.4
"Crocheting","Social.Connection.Need",3.6
"Crocheting","Creative.Expression.Need",1.6
"Crocheting","Escapism",6
"Crocheting","Boredom.Avoidance",8.2
"Crocheting","Health.Consciousness",3.9
"Crocheting","Personal.Growth",1.4
"Crocheting","Identity.Expression",2
"Crocheting","Fun.Orientation",2.5
"Crocheting","Altruism",3.1
"Crocheting","Therapeutic.Need",6.5
"Crocheting","Habit.Strength",6
"Crocheting","Peer.Approval",7
"Crocheting","Obligation.Commitment",3.7
"Crocheting","Curiosity.Driven.Exploration",8.3
"Crocheting","Challenge.Seeking",2.1
"Crocheting","Fear.of.Missing.Out",4.7
"Crocheting","Self.Efficacy",8
"Crocheting","Desire.for.Prestige",1.9
"Crocheting","Perceived.Time.Value",1.2
"Crocheting","Desire.for.Autonomy",8.8
"Crocheting","Desire.for.Belonging",3.5
"Crocheting","Desire.for.Exploration",6.9
"Crocheting","Value.Congruence",0.4
"Crocheting","Need.for.Feedback",6.9
"Crocheting","Peer.Influence",3.2
"Crocheting","Friends..Participation",0.7
"Crocheting","Family.Support",6.1
"Crocheting","Partner.Support",2.5
"Crocheting","Social.Norms",3.9
"Crocheting","Peer.Competition",0.9
"Crocheting","Mentorship.Presence",1.6
"Crocheting","Role.Models",3
"Crocheting","Club.Group.Access",1
"Crocheting","Sense.of.Community",9.1
"Crocheting","Inclusivity.of.Community",0.2
"Crocheting","Social.Recognition",4.9
"Crocheting","Social.Media.Trends",1.3
"Crocheting","Celebrity.Endorsement",3.1
"Crocheting","Cultural.Stigma",9.3
"Crocheting","Networking.Opportunities",1.7
"Crocheting","Team.Dynamics",9.7
"Crocheting","Event.Frequency",2.1
"Crocheting","Friends..Judgment",7.4
"Crocheting","Preferred.Group.Size",5.5
"Crocheting","Time.with.Family",8.9
"Crocheting","Age.of.Peers",5.6
"Crocheting","Representation.in.Media",5.4
"Crocheting","Workplace.Culture",2
"Crocheting","School.Culture",1.7
"Crocheting","Hobby.Popularity.in.Area",9.2
"Crocheting","Encouragement.from.Others",3.3
"Crocheting","Gift.Culture",3.8
"Crocheting","Family.Hobby.Culture",7.6
"Crocheting","Cultural.Tradition",3.5
"Crocheting","Access.to.Facilities",9.5
"Crocheting","Home.Space.Availability",7.4
"Crocheting","Environmental.Proximity",6
"Crocheting","Climate.Suitability",8.8
"Crocheting","Urban.Infrastructure",0.6
"Crocheting","Neighborhood.Safety",2.6
"Crocheting","Local.Classes",4.7
"Crocheting","Internet.Access",2.3
"Crocheting","Free.Time",7.5
"Crocheting","Schedule.Flexibility",9.2
"Crocheting","Transportation.Access",4.3
"Crocheting","Noise.Constraints",3.5
"Crocheting","Light.Pollution",9.6
"Crocheting","Air.Quality",4.5
"Crocheting","Cost.of.Local.Access",4.9
"Crocheting","Rental.Options",3.6
"Crocheting","Supply.Store.Access",9.1
"Crocheting","Resource.Competition",5.7
"Crocheting","Supportive.Employer",7.6
"Crocheting","Legal.Barriers",8.1
"Crocheting","Public.Health.Concern",3.5
"Crocheting","Home.Supportiveness",4.4
"Crocheting","Workload",8.5
"Crocheting","Relocation.Frequency",3.7
"Crocheting","Insurance.Availability",8
"Crocheting","Physical.Risk.Level",9.4
"Crocheting","Weather.Conditions",6.3
"Crocheting","Accessibility.for.Disabilities",7.4
"Crocheting","COVID.Impact",8.1
"Crocheting","Commuting.Distance",8.5
"Crocheting","Disposable.Income",4
"Crocheting","Startup.Costs",0.6
"Crocheting","Ongoing.Costs",4.1
"Crocheting","Ability.to.Monetize",6.8
"Crocheting","Perceived.Value",4.6
"Crocheting","Opportunity.Cost",7.5
"Crocheting","Work.Hours",3.6
"Crocheting","Job.Demands",6.4
"Crocheting","Financial.Stress",1.9
"Crocheting","Socioeconomic.Status",7.5
"Crocheting","Parental.Financial.Support",5.5
"Crocheting","Frugality.Mindset",2.1
"Crocheting","Access.to.Credit",3
"Crocheting","Economic.Climate",7.5
"Crocheting","Used.Gear.Market",4.9
"Crocheting","Resale.Value",2.2
"Crocheting","Living.Cost.Burden",9.7
"Crocheting","Transportation.Cost",7.2
"Crocheting","Marketplace.Strength",9.6
"Crocheting","Recession.Sensitivity",4.3
"Crocheting","Equipment.Quality",4.8
"Crocheting","Free.Alternatives",9
"Crocheting","Scholarship.Availability",5.3
"Crocheting","Workplace.Perks",7.1
"Crocheting","Debt.Burden",2.6
"Crocheting","Class.Based.Identity",4.5
"Crocheting","Hobby.Affordability",1.3
"Crocheting","Hobby.Elitism",2.1
"Crocheting","Low.Cost.Hacks",0.1
"Crocheting","Hobby.Inflation.Risk",0.5
"Crocheting","Physical.Strength",9.8
"Crocheting","Flexibility",2.5
"Crocheting","Hand.Eye.Coordination",6.7
"Crocheting","Fine.Motor.Skills",8.4
"Crocheting","Artistic.Talent",5.6
"Crocheting","Musical.Ability",1.6
"Crocheting","Strategic.Thinking",7.3
"Crocheting","Logical.Reasoning",6
"Crocheting","Public.Speaking",7.3
"Crocheting","Writing.Skill",7.7
"Crocheting","Technical.Skill",9.8
"Crocheting","Cooking.Skill",5.8
"Crocheting","Subject.Knowledge",3.5
"Crocheting","Learning.Aptitude",6.5
"Crocheting","Memory.Retention",0.8
"Crocheting","Spatial.Skills",9
"Crocheting","Creative.Fluency",1.3
"Crocheting","Tolerance.for.Repetition",3.3
"Crocheting","Singing.Ability",8.2
"Crocheting","Rhythm.Sense",6
"Crocheting","Teamwork.Skills",4
"Crocheting","Stress.Tolerance",4.8
"Crocheting","Adaptability",8.6
"Crocheting","Hobby.Specific.Training",3.5
"Crocheting","Hand.Stability",8.7
"Crocheting","Focus.Consistency",1
"Crocheting","Endurance",7.8
"Crocheting","Gaming.Reflexes",8.5
"Crocheting","Problem.Solving",1.9
"Crocheting","Pattern.Recognition",4.4
"Crocheting","Current.Stress.Level",1.7
"Crocheting","Anxiety.Level",7.1
"Crocheting","Mood.Depression",5.4
"Crocheting","Baseline.Happiness",6.4
"Crocheting","Resilience.to.Failure",2
"Crocheting","Energy.Level",2.2
"Crocheting","Mental.Fatigue",0.5
"Crocheting","Focus.Ability",3.3
"Crocheting","Desire.for.Solitude",5.6
"Crocheting","Outlet.for.Emotion",8.6
"Crocheting","Anger.Management",6.7
"Crocheting","Life.Satisfaction",4.4
"Crocheting","Burnout.Level",9.5
"Crocheting","Boredom.Proneness",7.2
"Crocheting","Need.for.Meaning",9.3
"Crocheting","Gratification.Preference",5.3
"Crocheting","Process.Orientation",2.7
"Crocheting","Therapeutic.Value",0.6
"Crocheting","Coping.Strategy.Need",7.3
"Crocheting","Motivational.Burnout",1.3
"Crocheting","Self.Awareness",3.1
"Crocheting","Restlessness",5.4
"Crocheting","Confidence.in.Hobby",5.7
"Crocheting","Perfection.Pressure",6
"Crocheting","Peer.Comparison.Anxiety",1.7
"Crocheting","Fear.of.Judgment",3.9
"Crocheting","Emotional.Reward",6.2
"Crocheting","Social.Energy",9.7
"Crocheting","Resonance.with.Identity",7.3
"Crocheting","Passion.Intensity",9.2
"Crocheting","Trendiness",7.6
"Crocheting","Media.Exposure",6
"Crocheting","Nostalgia",2
"Crocheting","Early.Success",6.7
"Crocheting","Beginner.Resources",6.3
"Crocheting","Advanced.Challenges",6.1
"Crocheting","Hobby.Evolution",4.9
"Crocheting","Safety.Measures",5.3
"Crocheting","Competition.Outcome",3.4
"Crocheting","Awards",5.2
"Crocheting","Peer.Accountability",2.1
"Crocheting","Multiple.Hobbies",8.1
"Crocheting","External.Obligations",1.9
"Crocheting","Housing.Stability",0.9
"Crocheting","Family.Expectations",4.4
"Crocheting","Work.Life.Balance",6.6
"Crocheting","Routine.Integration",4.4
"Crocheting","Cleanup.Effort",2.8
"Crocheting","Focus.Intensity",5.6
"Crocheting","Portability",3.5
"Crocheting","Climate.Change.Awareness",9.3
"Crocheting","Social.Perception",9.2
"Crocheting","Support.System",5.1
"Crocheting","Lifestyle.Fit",3.3
"Crocheting","Technology.Enhancement",7.4
"Crocheting","Goal.Alignment",0.5
"Crocheting","Identity.Fulfillment",4.8
"Crocheting","Cognitive.Load",3.4
"Crocheting","Self.Reflection",9.2
"Crocheting","Skill.Reinforcement",0.2
"Crocheting","Extra.Variable.271",5.6
"Crocheting","Extra.Variable.272",7.4
"Crocheting","Extra.Variable.273",4.9
"Crocheting","Extra.Variable.274",0.9
"Crocheting","Extra.Variable.275",9.7
"Crocheting","Extra.Variable.276",5.2
"Crocheting","Extra.Variable.277",6.2
"Crocheting","Extra.Variable.278",2.4
"Crocheting","Extra.Variable.279",4.9
"Crocheting","Extra.Variable.280",4.3
"Crocheting","Extra.Variable.281",0.8
"Crocheting","Extra.Variable.282",1.2
"Crocheting","Extra.Variable.283",8.4
"Crocheting","Extra.Variable.284",2.5
"Crocheting","Extra.Variable.285",2
"Crocheting","Extra.Variable.286",5.1
"Crocheting","Extra.Variable.287",7.7
"Crocheting","Extra.Variable.288",0.7
"Crocheting","Extra.Variable.289",5.8
"Crocheting","Extra.Variable.290",1.3
"Crocheting","Extra.Variable.291",0.5
"Crocheting","Extra.Variable.292",0.6
"Crocheting","Extra.Variable.293",8.4
"Crocheting","Extra.Variable.294",1.3
"Crocheting","Extra.Variable.295",0.5
"Crocheting","Extra.Variable.296",4.4
"Crocheting","Extra.Variable.297",8.5
"Crocheting","Extra.Variable.298",2.7
"Crocheting","Extra.Variable.299",4.3
"Crocheting","Extra.Variable.300",0.5
"Decoupage","Gender..male.",4.5
"Decoupage","Gender..female.",5.8
"Decoupage","Age",5.8
"Decoupage","Education.Level",3.4
"Decoupage","Student.Status",3.2
"Decoupage","Employment.Status",1.2
"Decoupage","Occupation.Type",3.7
"Decoupage","Income.Level",1.1
"Decoupage","Living.Situation",7.7
"Decoupage","Relationship.Status",9.7
"Decoupage","Parental.Status",9.7
"Decoupage","Urban.Environment",8.7
"Decoupage","Rural.Environment",6
"Decoupage","Suburban.Environment",7
"Decoupage","Region..Geography.",2.9
"Decoupage","Cultural.Ethnic.Background",6.3
"Decoupage","Religious.Beliefs",4.6
"Decoupage","Physical.Health.Status",4.9
"Decoupage","Disability.Status",7.6
"Decoupage","Mental.Health.Condition",2.9
"Decoupage","Body.Image.Self.Consciousness",3.2
"Decoupage","Language.Fluency",9.3
"Decoupage","Generation.Identity",0.7
"Decoupage","Parental.Encouragement",4.9
"Decoupage","Family.Tradition",9.1
"Decoupage","Peer.Economic.Status",6.1
"Decoupage","Financial.Independence",5.5
"Decoupage","Living.Expenses",2.6
"Decoupage","Student.Loan.Burden",3.5
"Decoupage","Rent.Burden",8.5
"Decoupage","Openness.to.Experience",5.6
"Decoupage","Conscientiousness",5.2
"Decoupage","Extraversion",1.1
"Decoupage","Introversion",0.3
"Decoupage","Agreeableness",9.6
"Decoupage","Neuroticism",3.8
"Decoupage","Sensation.Seeking",6.1
"Decoupage","Need.for.Novelty",0.9
"Decoupage","Competitiveness",6.9
"Decoupage","Creativity..Trait.",9.3
"Decoupage","Curiosity",5.8
"Decoupage","Patience",1.3
"Decoupage","Attention.Span",5.9
"Decoupage","Detail.Orientedness",7.7
"Decoupage","Impulsivity",4.1
"Decoupage","Self.Discipline",8.8
"Decoupage","Self.Esteem",6.5
"Decoupage","Shyness",9
"Decoupage","Independence",6.3
"Decoupage","Empathy",1.4
